code,name,current_stock,min_stock,base_price,wholesale_price,retail_price
PROD-158,ACEITUNA VERDE 2KG N'2',938,0,5800,9150,9150
PROD-158-2,ACEITUNA VERDE 2KG N'2',938,0,5800,9150,9150
PROD-1585,MORTADELA PALADINI,100,0,6133,9300,9300
PROD-159,ACEITUNA VERDE ROTAS 2KG,997,0,4250,6700,6700
PROD-159-2,ACEITUNA VERDE ROTAS 2KG,996,0,4250,6700,6700
PROD-1591,MORTADELA 808,757,0,3416.13,5200,5200
PROD-16,MANI PELADO SALADO DANAL,825,0,4168,6350,6350
PROD-160,AJIES EN VINAGRE 3KG,993,0,9050,13700,13700
PROD-1604,ACEITE BIDON 4.5L GIRASOL,145,0,8200,10250,10250
PROD-1605,ACEITE COSTA DEL SOL 900CC,568,0,1600,2450,2450
PROD-1610,ACEITUNA NEGRA 2K N'0',995,0,11950,18800,18800
PROD-1610-2,ACEITUNA NEGRA 2K N'0',995,0,11950,18800,18800
PROD-1611,ACEITUNA NEGRA 2KG N'2',997,0,5900,9300,9300
PROD-1611-2,ACEITUNA NEGRA 2KG N'2',997,0,5900,9300,9300
PROD-162,AZUCAR SIDERAL 1KG,128,0,520,790,790
PROD-163,DULCE BATATA CAJON 5KG,945,0,8156,10650,10650
PROD-164,DULCE MEMBRILLO DULCOR CAJON 5K,932,0,9230,14550,14550
PROD-165,CHEDDAR SACHET SPALEM,987,0,13100,19850,19850
PROD-166,CHEDDAR EN BARRA SPALEM,989,0,5865,8900,8900
PROD-167,HARINA BRUNING 0000 1KG,1000,0,520,800,800
PROD-168,HARINA BRUNING 000,27,0,440,700,700
PROD-1682,SARDO TEMPLE ESTACIONADO (NEGRO),1500,0,8200,12420,12420
PROD-1686,SALAME SUPER METRO GOGGI,136,0,7800,11800,11800
PROD-1687,PROVOLETA X KG,34,0,7450,11270,11270
PROD-1688,CHEDDAR POUCH X 3KG RYE,7,0,14000,21200,21200
PROD-1689,"CREMA SACHET RYE (3,3KG APROX)",975,0,12390,18750,18750
PROD-169,LEVADURA SECA EN SOBRE (2UN),673,0,750,950,950
PROD-1690,MAYONESA NATURA 3KG,1424,0,7020,10650,10650
PROD-1691,KETCHUP NATURA 3KG,78,0,7613,11550,11550
PROD-1691-2,KETCHUP NATURA 3KG,78,0,7613,11550,11550
PROD-1692,MOSTAZA NATURA 3KG,79,0,5220,6550,6550
PROD-1693,SALSA GOLF NATURA 3KG,84,0,7990,12100,12100
PROD-1694,MOSTAZA INDIVIDUAL 8GR ' CAJA 192 UNIDADES ',96,0,3200,4000,4000
PROD-1695,ACEITE NATURA 900ML,1364,0,2100,3200,3200
PROD-1695-2,ACEITE NATURA 900ML,1364,0,2100,3200,3200
PROD-1696,ACEITE NATURA BIDON 3L,68,0,6800,10300,10300
PROD-1696-2,ACEITE NATURA BIDON 3L,69,0,6800,10300,10300
PROD-1697,PURE DE TOMATE MORA 520GR,466,0,488,620,620
PROD-1698,DURAZNO LA COLINA 800 GR,138,0,1197,1500,1500
PROD-1699,MAYONESA CADA DIA 3KG,3,0,4535,6900,6900
PROD-1699-2,MAYONESA CADA DIA 3KG,3,0,4535,6900,6900
PROD-17,MANI SABORIZADO DANAL,731,0,4851,7350,7350
PROD-170,MAYONESA HELLMANS 3KG,638,0,6600,10000,10000
PROD-170-2,MAYONESA HELLMANS 3KG,638,0,6600,10000,10000
PROD-1701,CAJON DE BATATA CON CHOCOLATE X 5KG,1485,0,6000,9440,9440
PROD-1702,DULCE DE LECHE REPOSTERO 1KG WYNDY,6,0,2689,4250,4250
PROD-1703,DULCE DE LECHE FAMILIAR WYNDY 1KG,1488,0,2805.26,4450,4450
PROD-1704,PASCUALINA HOJALDRE SIGNO DE ORO,114,0,670,1020,1020
PROD-1705,DISCO HORNO-FREIR SIGNO ORO XL 12UNID 500GR,44,0,770,1180,1180
PROD-1706,CAPELLETIS SIGNO DE ORO 500GR,87,0,1160,1800,1800
PROD-1707,RAVIOLES SIGNO DE ORO 1KG,90,0,2020,3100,3100
PROD-1708,ÑOQUIS SIGNO DE ORO 500GR,13,0,1090,1650,1650
PROD-1709,PIZZETAS X12UNID SIGNO DE ORO,5,0,1125,1950,1950
PROD-1710,TAPA PASCUALINA CRIOLLA SIGNO DE ORO,19,0,635,1000,1000
PROD-1711,TUBO DISCOS DOÑA BEBA,35,0,3500,5300,5300
PROD-1712,HARINA LEUDANTE BRUNNING 1KG,100,0,750,950,950
PROD-1713,LECHE ENTERA COTAPA 1L,920,0,1150,1440,1440
PROD-1714,DISCO HORNO-FREIR 330GR SIGNO DE ORO,994,0,480,750,750
PROD-1715,DISCO HORNO-FREIR 18 UNIDADES SIGNO DE ORO,69,0,700,1100,1100
PROD-1716,TUBO DISCO DON CARLOS (30 UN),146,0,1750,2650,2650
PROD-1717,TUBO DISCOS X60 UNID. TIA SOL,48,0,3880,5900,5900
PROD-1718,DISCO HOJALDRE XL HORNO SIGNO DE ORO,51,0,800,1220,1220
PROD-1719,BATATA SACHET X500GR DULCOR,20,0,918,1450,1450
PROD-172,MORRON AL NATURAL 800GR,985,0,3500,5300,5300
